#sylable 	frequency wikipedia
EN	0.0487	0.09977
ER	0.0418	0.0709176122348298
CH	0.0358	0.07461766156882092
DE	0.0254	0.04057720769610262
EI	0.0244	0.0710409472126295
IE	0.0215	0.036630488406512084
IN	0.0214	0.03860384805130735
TE	0.0209	0.062284163788850516
GE	0.0188	0.029723729649728664
UN	0.0169	0.024913665515540206
ND	0.0168	0.023310310804144054
IC	0.0149	0.015910212136161814
ES	0.0138	0.022323630981746424
BE	0.0137	0.04760730143068574
HE	0.013	0.036260483473112975
ST	0.0129	0.04501726689689196
NE	0.0128	0.015786877158362113
AN	0.0126	0.028613714849531326
RE	0.0111	0.01640355204736063
SE	0.011	0.013813517513566848
DI	0.0106	0.019980266403552046
SC	0.0099	0.0215836211149482
AU	0.0093	0.010853478046373951
NG	0.009	0.02590034533793784
SI	0.0089	0.014676862358164776
LE	0.0085	0.011470152935372471
DA	0.0082	0.008880118401578688
IT	0.008	0.03811050814010854
HT	0.0079	0.0061667488899852
EL	0.0076	0.015540207202762703
LI	0.0075	0.012703502713369511
